Parental Level,Game Title,File Offset,PlayStation PRO Support,Current Version,Instant Download,Package Size,PlayStation VR,Piece,SHA1 Hash,Title ID,Play Together
3,THE PLAYROOM,0,No,1.07,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00001_00/9/f_ef965b581d35637dabc96366f29f1f0ece58c8fa9158b0eb7de9407ae72272e8/f/IP9100-CUSA00001_00-PLAYROOM00000000-A0107-V0100.pkg,34.9MB,No,0,22774b6c655f47dffce0eb7e15c5e865dce6a849,CUSA00001_00,
9,KILLZONE SHADOW FALL,0,No,1.81,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00002_00/58/f_0882efa770fbf5b9a03b4decce248e8f07fd9585cbe43c44791799952c62fd14/f/EP9000-CUSA00002_00-KZ4RELEASE000041-A0181-V0100.pkg,2.9GB,No,0,552b7127dac3ee8ab5ce2ae051f6436c3ec605fc,CUSA00002_00,
7,inFAMOUS Second Son,0,Yes,1.07,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00004_00/28/f_2881c3732328a643917aeb4c1e73b916c1d6baa7ea09e2e81f33d5f139ea9449/f/EP9000-CUSA00004_00-SECONDSONSHIP000-A0107-V0100.pkg,3.7GB,No,0,0538bdff843286013877ab92e5dc936b1407ddcb,CUSA00004_00,
3,RESOGUN,0,Yes,1.1,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00005_00/17/f_b05f34f75b778898a249423a31079c8014329cc3739c78282da1d0265da54976/f/EP9000-CUSA00005_00-RESOGUN000000001-A0110-V0100.pkg,636.9MB,No,0,48809571e28e005438df892e93caaaec6bc20366,CUSA00005_00,2
5,KNACK,0,Yes,1.1,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00006_00/16/f_2577432f2fafbd6bb24a7b5ea038f25ef05397d2b635ee589589b0ef7e892805/f/EP9000-CUSA00006_00-KNACK00000000000-A0110-V0100.pkg,29.5MB,No,0,ed1d6cc5106ed5de5973def1ac062c924b9467f5,CUSA00006_00,
3,NBA 2K14,0,No,1.05,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00007_00/22/f_f700fa621d33a53d3e085e53a36daf270bae2192125f415d6109e6b134785fca/f/UP1001-CUSA00007_00-NBA2K14000000000-A0105-V0100.pkg,2.3GB,No,0,c4a4c40aac2ad8c8e1f0914a1c73d75e8bfa475c,CUSA00007_00,
9,KILLZONE SHADOW FALL,0,No,1.81,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00008_00/53/f_f95605d92450a83a851ced72b6ed43693b3668c3a5bb4a4cf5db3b8315efb3ca/f/EP9000-CUSA00008_00-KZ4RELEASE000041-A0181-V0100.pkg,2.4GB,No,0,0b0feb8d5118f45c5ff10c7160f31202e3a98bdd,CUSA00008_00,
9,Assassin's Creed IV Black Flag,0,No,1.04,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00009_00/11/f_4db9903fa329af71cb38cda43ef1fa0c085983ac7b81edee80f01dfa588f2fd6/f/EP0001-CUSA00009_00-AC4GAMEPS4000001-A0104-V0100.pkg,2.2GB,No,0,24e32a752d6bc1aea9ee2163c92ec258ff943ef2,CUSA00009_00,
9,Assassin's Creed IV Black Flag,0,No,1.04,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00010_00/12/f_b12fc9d36eedbca44f11dc2fb3c2e50bc462b103e28779201641772da3790e2a/f/UP0001-CUSA00010_00-AC4GAMEPS4000001-A0104-V0100.pkg,2.1GB,No,0,b73bdb8ff5a4ab8bd9aa595674860dd2310fdc4d,CUSA00010_00,
5,Contrast,0,No,1.03,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00011_00/12/f_266a51a482eddbfaba45ebd81f7dbbecbb8aa10ce963b779e5f6cb9ee3c89e18/f/UP2092-CUSA00011_00-CONTRASTUS000001-A0103-V0100.pkg,211.8MB,No,0,29d047db469eacd23653f1f4db38d26e3994e8cd,CUSA00011_00,
2,F1 2015,0,No,1.08,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00013_00/30/f_26c2578c792fbd469aec08b54dd0d105a33a65fd639fd9fcbede88609c8d6658/f/EP4001-CUSA00013_00-F12015EMASTER000-A0108-V0100.pkg,747.6MB,No,0,13d82292a780879f211e69a81387436bfae858ed,CUSA00013_00,
3,KNACK,0,Yes,1.1,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00014_00/14/f_efd0bc23041119f946998ccdefd9c323d782d0ae916fd36297514705fc658bae/f/JP9000-CUSA00014_00-KNACK00000000000-A0110-V0100.pkg,45.8MB,No,0,180cd268a37ad3d9201e856d17e5f926e29a4e1d,CUSA00014_00,
9,WATCH_DOGS,0,No,1.04,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00016_00/9/f_87498ccdc8b7d5f73bb235cd20470643c92cdee757a6669a72b17fe6ec0b19e5/f/EP0001-CUSA00016_00-WATCHDOGS0000000-A0104-V0100.pkg,112.1MB,No,0,1f16b73460b1783407cc5135cfc714e0909b95cb,CUSA00016_00,
